Subject,ModelId,OptimStage,OptimSubstage,Replicate,Iteration,AnalysisId,ParameterCode,NegativeLogLikelihood (float),ParameterValue (float)
fisheries,schaefer,Simulated annealing,Heating (T=1.464100),1,5,546272fd-1817-4d29-a66b-93dc696e41f8,K,-18.451635216525816,2042.5035646921415
fisheries,schaefer,Simulated annealing,Heating (T=1.464100),1,5,546272fd-1817-4d29-a66b-93dc696e41f8,q,-18.451635216525816,0.0006914314256389817
fisheries,schaefer,Simulated annealing,Heating (T=1.464100),1,5,546272fd-1817-4d29-a66b-93dc696e41f8,r,-18.451635216525816,0.5732463722482533
fisheries,schaefer,Simulated annealing,Heating (T=1.464100),1,5,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-18.451635216525816,0.16135883862252537
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,58,546272fd-1817-4d29-a66b-93dc696e41f8,K,-15.406555281684513,2081.3736885976655
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,58,546272fd-1817-4d29-a66b-93dc696e41f8,q,-15.406555281684513,0.0006973571054924254
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,58,546272fd-1817-4d29-a66b-93dc696e41f8,r,-15.406555281684513,0.5604925644488393
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,58,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-15.406555281684513,0.2521746583559072
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,258,546272fd-1817-4d29-a66b-93dc696e41f8,K,-15.383073093697023,2045.1180685452282
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,258,546272fd-1817-4d29-a66b-93dc696e41f8,q,-15.383073093697023,0.000626803161887805
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,258,546272fd-1817-4d29-a66b-93dc696e41f8,r,-15.383073093697023,0.5854171028800571
fisheries,schaefer,Simulated annealing,Heating (T=1.610510),1,258,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-15.383073093697023,0.1882472258687403
fisheries,schaefer,Simulated annealing,Heating (T=1.948717),1,20,546272fd-1817-4d29-a66b-93dc696e41f8,K,-18.059291836032777,2074.4347573561613
fisheries,schaefer,Simulated annealing,Heating (T=1.948717),1,20,546272fd-1817-4d29-a66b-93dc696e41f8,q,-18.059291836032777,0.0007231492934473212
fisheries,schaefer,Simulated annealing,Heating (T=1.948717),1,20,546272fd-1817-4d29-a66b-93dc696e41f8,r,-18.059291836032777,0.5581363815634411
fisheries,schaefer,Simulated annealing,Heating (T=1.948717),1,20,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-18.059291836032777,0.13621371176937735
fisheries,schaefer,Simulated annealing,Heating (T=2.143589),1,113,546272fd-1817-4d29-a66b-93dc696e41f8,K,-16.390854328684025,2118.9780203682
fisheries,schaefer,Simulated annealing,Heating (T=2.143589),1,113,546272fd-1817-4d29-a66b-93dc696e41f8,q,-16.390854328684025,0.0007918422391537719
fisheries,schaefer,Simulated annealing,Heating (T=2.143589),1,113,546272fd-1817-4d29-a66b-93dc696e41f8,r,-16.390854328684025,0.5373496662249977
fisheries,schaefer,Simulated annealing,Heating (T=2.143589),1,113,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-16.390854328684025,0.17639979128688285
fisheries,schaefer,Simulated annealing,Heating (T=2.593742),1,73,546272fd-1817-4d29-a66b-93dc696e41f8,K,-12.964866639154518,2135.828089288469
fisheries,schaefer,Simulated annealing,Heating (T=2.593742),1,73,546272fd-1817-4d29-a66b-93dc696e41f8,q,-12.964866639154518,0.0005118454788724952
fisheries,schaefer,Simulated annealing,Heating (T=2.593742),1,73,546272fd-1817-4d29-a66b-93dc696e41f8,r,-12.964866639154518,0.5769169748756933
fisheries,schaefer,Simulated annealing,Heating (T=2.593742),1,73,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-12.964866639154518,0.20930770404262194
fisheries,schaefer,Simulated annealing,Heating (T=3.138428),1,22,546272fd-1817-4d29-a66b-93dc696e41f8,K,-19.124410145498942,2208.951239487358
fisheries,schaefer,Simulated annealing,Heating (T=3.138428),1,22,546272fd-1817-4d29-a66b-93dc696e41f8,q,-19.124410145498942,0.0005731236983624302
fisheries,schaefer,Simulated annealing,Heating (T=3.138428),1,22,546272fd-1817-4d29-a66b-93dc696e41f8,r,-19.124410145498942,0.524539604046535
fisheries,schaefer,Simulated annealing,Heating (T=3.138428),1,22,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-19.124410145498942,0.17505343448728086
fisheries,schaefer,Simulated annealing,Heating (T=3.452271),1,121,546272fd-1817-4d29-a66b-93dc696e41f8,K,-19.85074319674044,2148.0976144444608
fisheries,schaefer,Simulated annealing,Heating (T=3.452271),1,121,546272fd-1817-4d29-a66b-93dc696e41f8,q,-19.85074319674044,0.0006881190181208403
fisheries,schaefer,Simulated annealing,Heating (T=3.452271),1,121,546272fd-1817-4d29-a66b-93dc696e41f8,r,-19.85074319674044,0.5297674002881998
fisheries,schaefer,Simulated annealing,Heating (T=3.452271),1,121,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-19.85074319674044,0.17444837125824603
fisheries,schaefer,Simulated annealing,Heating (T=4.177248),1,60,546272fd-1817-4d29-a66b-93dc696e41f8,K,-19.070677694846857,2361.2993639470246
fisheries,schaefer,Simulated annealing,Heating (T=4.177248),1,60,546272fd-1817-4d29-a66b-93dc696e41f8,q,-19.070677694846857,0.0004941803701683353
fisheries,schaefer,Simulated annealing,Heating (T=4.177248),1,60,546272fd-1817-4d29-a66b-93dc696e41f8,r,-19.070677694846857,0.488387144404096
fisheries,schaefer,Simulated annealing,Heating (T=4.177248),1,60,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-19.070677694846857,0.17808107167538914
fisheries,schaefer,Simulated annealing,Heating (T=5.054470),1,30,546272fd-1817-4d29-a66b-93dc696e41f8,K,-21.492879435032233,2324.526104630587
fisheries,schaefer,Simulated annealing,Heating (T=5.054470),1,30,546272fd-1817-4d29-a66b-93dc696e41f8,q,-21.492879435032233,0.0006301053812525704
fisheries,schaefer,Simulated annealing,Heating (T=5.054470),1,30,546272fd-1817-4d29-a66b-93dc696e41f8,r,-21.492879435032233,0.4723009248241605
fisheries,schaefer,Simulated annealing,Heating (T=5.054470),1,30,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-21.492879435032233,0.10477510762976132
fisheries,schaefer,Simulated annealing,Heating (T=6.115909),1,23,546272fd-1817-4d29-a66b-93dc696e41f8,K,-23.934873496945087,2326.9713170707896
fisheries,schaefer,Simulated annealing,Heating (T=6.115909),1,23,546272fd-1817-4d29-a66b-93dc696e41f8,q,-23.934873496945087,0.0005723752817110444
fisheries,schaefer,Simulated annealing,Heating (T=6.115909),1,23,546272fd-1817-4d29-a66b-93dc696e41f8,r,-23.934873496945087,0.4772982592121471
fisheries,schaefer,Simulated annealing,Heating (T=6.115909),1,23,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-23.934873496945087,0.11249509666612378
fisheries,schaefer,Simulated annealing,Heating (T=6.727500),1,4,546272fd-1817-4d29-a66b-93dc696e41f8,K,-18.55539020111893,2332.329417102086
fisheries,schaefer,Simulated annealing,Heating (T=6.727500),1,4,546272fd-1817-4d29-a66b-93dc696e41f8,q,-18.55539020111893,0.0005077502958029456
fisheries,schaefer,Simulated annealing,Heating (T=6.727500),1,4,546272fd-1817-4d29-a66b-93dc696e41f8,r,-18.55539020111893,0.496623952585122
fisheries,schaefer,Simulated annealing,Heating (T=6.727500),1,4,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-18.55539020111893,0.16690783826749922
fisheries,schaefer,Simulated annealing,Heating (T=7.400250),1,85,546272fd-1817-4d29-a66b-93dc696e41f8,K,4.047192257723181,2474.0650713677537
fisheries,schaefer,Simulated annealing,Heating (T=7.400250),1,85,546272fd-1817-4d29-a66b-93dc696e41f8,q,4.047192257723181,0.0003069665113369908
fisheries,schaefer,Simulated annealing,Heating (T=7.400250),1,85,546272fd-1817-4d29-a66b-93dc696e41f8,r,4.047192257723181,0.44738113191149237
fisheries,schaefer,Simulated annealing,Heating (T=7.400250),1,85,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,4.047192257723181,0.4354019317663749
fisheries,schaefer,Simulated annealing,Heating (T=8.954302),1,69,546272fd-1817-4d29-a66b-93dc696e41f8,K,6.05029913909181,2410.6768925902757
fisheries,schaefer,Simulated annealing,Heating (T=8.954302),1,69,546272fd-1817-4d29-a66b-93dc696e41f8,q,6.05029913909181,0.00033688984167718763
fisheries,schaefer,Simulated annealing,Heating (T=8.954302),1,69,546272fd-1817-4d29-a66b-93dc696e41f8,r,6.05029913909181,0.45062077641032183
fisheries,schaefer,Simulated annealing,Heating (T=8.954302),1,69,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,6.05029913909181,0.487114604940656
fisheries,schaefer,Simulated annealing,Heating (T=10.834706),1,16,546272fd-1817-4d29-a66b-93dc696e41f8,K,-12.157667199900521,2339.3105854449072
fisheries,schaefer,Simulated annealing,Heating (T=10.834706),1,16,546272fd-1817-4d29-a66b-93dc696e41f8,q,-12.157667199900521,0.0005231076747192053
fisheries,schaefer,Simulated annealing,Heating (T=10.834706),1,16,546272fd-1817-4d29-a66b-93dc696e41f8,r,-12.157667199900521,0.48496704190775874
fisheries,schaefer,Simulated annealing,Heating (T=10.834706),1,16,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-12.157667199900521,0.08231938708320218
fisheries,schaefer,Simulated annealing,Heating (T=11.918177),1,54,546272fd-1817-4d29-a66b-93dc696e41f8,K,-12.193048189814542,2324.2205591863813
fisheries,schaefer,Simulated annealing,Heating (T=11.918177),1,54,546272fd-1817-4d29-a66b-93dc696e41f8,q,-12.193048189814542,0.0005472164112448725
fisheries,schaefer,Simulated annealing,Heating (T=11.918177),1,54,546272fd-1817-4d29-a66b-93dc696e41f8,r,-12.193048189814542,0.5051353914092739
fisheries,schaefer,Simulated annealing,Heating (T=11.918177),1,54,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-12.193048189814542,0.20244832684582165
fisheries,schaefer,Simulated annealing,Heating (T=14.420994),1,31,546272fd-1817-4d29-a66b-93dc696e41f8,K,2.0298038429104976,2367.309026945531
fisheries,schaefer,Simulated annealing,Heating (T=14.420994),1,31,546272fd-1817-4d29-a66b-93dc696e41f8,q,2.0298038429104976,0.0007528844157055111
fisheries,schaefer,Simulated annealing,Heating (T=14.420994),1,31,546272fd-1817-4d29-a66b-93dc696e41f8,r,2.0298038429104976,0.479408699958622
fisheries,schaefer,Simulated annealing,Heating (T=14.420994),1,31,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,2.0298038429104976,0.5265706966449469
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,27,546272fd-1817-4d29-a66b-93dc696e41f8,K,-20.514734196969762,2529.2245481406653
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,27,546272fd-1817-4d29-a66b-93dc696e41f8,q,-20.514734196969762,0.00043600590649634045
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,27,546272fd-1817-4d29-a66b-93dc696e41f8,r,-20.514734196969762,0.4388350472989421
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,27,546272fd-1817-4d29-a66b-93dc696e41f8,sigma_v,-20.514734196969762,0.18570900157901288
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,227,546272fd-1817-4d29-a66b-93dc696e41f8,K,-12.403240257082382,2948.6352195830427
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,227,546272fd-1817-4d29-a66b-93dc696e41f8,q,-12.403240257082382,0.0005387303677971232
fisheries,schaefer,Simulated annealing,Heating (T=15.863093),1,227,546272fd-1817-4d29-a66b-93dc696e41f8,r,-12.403240257082382,0.3273729352956021
